fid,vecinski_tip_tla
1,Luvisols
4,Gleysols
5,Cambisols
9,Luvisols
11,Gleysols
18,Cambisols
25,Luvisols
26,Cambisols
28,Luvisols
30,Luvisols
40,Gleysols
41,Gleysols
42,Gleysols
48,Gleysols
69,Luvisols
71,Luvisols
80,Cambisols
90,Cambisols
103,Gleysols
110,Cambisols
113,Gleysols
116,Luvisols
126,Gleysols
180,Luvisols
283,Luvisols
474,Fluvisols
481,Gleysols
490,Cambisols
496,Cambisols
513,Fluvisols
514,Cambisols
516,Cambisols
517,Cambisols
520,Cambisols
521,Cambisols
522,Cambisols
523,Cambisols
525,Gleysols
526,Gleysols
528,Cambisols
529,Cambisols
535,Luvisols
540,Cambisols
541,Cambisols
542,Cambisols
543,Cambisols
544,Cambisols
545,Cambisols
546,Cambisols
552,Cambisols
556,Luvisols
557,Cambisols
562,Luvisols
592,Gleysols
